,time,Ax,Ay,Az,Temperatura,Presion,Altura1,Gx,Gy,Gz
0,-560,26,-53,255,845,40052,5,25,-120,30096
1,-560,26,-53,255,845,40052,5,25,-120,30096
2,-560,26,-53,255,845,40052,5,25,-120,30096
3,-560,26,-53,255,845,40052,5,25,-120,30096
4,-560,26,-53,255,845,40052,5,25,-120,30096
5,-560,26,-53,255,845,40052,5,25,-120,30096
6,-560,26,-53,255,845,40052,5,25,-120,30096
7,-560,26,-53,255,845,40052,5,25,-120,30096
8,-560,26,-53,255,845,40052,5,25,-120,30096
9,-560,26,-53,255,845,40052,5,25,-120,30096
10,-560,26,-53,255,845,40052,5,25,-120,30096
11,-560,26,-53,255,845,40052,5,25,-120,30096
12,-560,26,-53,255,845,40052,5,25,-120,30096
13,-560,26,-53,255,845,40052,5,25,-120,30096
14,-560,26,-53,255,845,40052,5,25,-120,30096
15,-560,26,-53,255,845,40052,5,25,-120,30096
16,-560,26,-53,255,845,40052,5,25,-120,30096
17,-560,26,-53,255,845,40052,5,25,-120,30096
18,-560,26,-53,255,845,40052,5,25,-120,30096
19,-560,26,-53,255,845,40052,5,25,-120,30096
20,-560,26,-53,255,845,40052,5,25,-120,30096
21,-560,26,-53,255,845,40052,5,25,-120,30096
22,-560,26,-53,255,845,40052,5,25,-120,30096
23,-560,26,-53,255,845,40052,5,25,-120,30096
24,-560,26,-53,255,845,40052,5,25,-120,30096
25,-560,26,-53,255,845,40052,5,25,-120,30096
26,-560,26,-53,255,845,40052,5,25,-120,30096
27,-560,26,-53,255,845,40052,5,25,-120,30096
28,-560,26,-53,255,845,40052,5,25,-120,30096
29,-560,26,-53,255,845,40052,5,25,-120,30096
30,-560,26,-53,255,845,40052,5,25,-120,30096
31,-560,26,-53,255,845,40052,5,25,-120,30096
32,-560,26,-53,255,845,40052,5,25,-120,30096
33,-560,26,-53,255,845,40052,5,25,-120,30096
34,-560,26,-53,255,845,40052,5,25,-120,30096
35,-560,26,-53,255,845,40052,5,25,-120,30096
36,-560,26,-53,255,845,40052,5,25,-120,30096
37,-560,26,-53,255,845,40052,5,25,-120,30096
38,-560,26,-53,255,845,40052,5,25,-120,30096
39,-560,26,-53,255,845,40052,5,25,-120,30096
40,-560,26,-53,255,845,40052,5,25,-120,30096
41,-560,26,-53,255,845,40052,5,25,-120,30096
42,-560,26,-53,255,845,40052,5,25,-120,30096
