,time,Ax,Ay,Az,Temperatura,Presion,Altura1,Gx,Gy,Gz
93,-560,26,-53,255,845,40052,5,25,-120,30096
94,-560,26,-53,255,845,40052,5,25,-120,30096
95,-560,26,-53,255,845,40052,5,25,-120,30096
96,-560,26,-53,255,845,40052,5,25,-120,30096
97,-560,26,-53,255,845,40052,5,25,-120,30096
98,-560,26,-53,255,845,40052,5,25,-120,30096
99,-560,26,-53,255,845,40052,5,25,-120,30096
100,-560,26,-53,255,845,40052,5,25,-120,30096
101,-560,26,-53,255,845,40052,5,25,-120,30096
102,-560,26,-53,255,845,40052,5,25,-120,30096
103,-560,26,-53,255,845,40052,5,25,-120,30096
104,-560,26,-53,255,845,40052,5,25,-120,30096
105,-560,26,-53,255,845,40052,5,25,-120,30096
106,-560,26,-53,255,845,40052,5,25,-120,30096
107,-560,26,-53,255,845,40052,5,25,-120,30096
108,-560,26,-53,255,845,40052,5,25,-120,30096
109,-560,26,-53,255,845,40052,5,25,-120,30096
110,-560,26,-53,255,845,40052,5,25,-120,30096
111,-560,26,-53,255,845,40052,5,25,-120,30096
112,-560,26,-53,255,845,40052,5,25,-120,30096
113,-560,26,-53,255,845,40052,5,25,-120,30096
114,-560,26,-53,255,845,40052,5,25,-120,30096
115,-560,26,-53,255,845,40052,5,25,-120,30096
116,-560,26,-53,255,845,40052,5,25,-120,30096
117,-560,26,-53,255,845,40052,5,25,-120,30096
118,-560,26,-53,255,845,40052,5,25,-120,30096
119,-560,26,-53,255,845,40052,5,25,-120,30096
120,-560,26,-53,255,845,40052,5,25,-120,30096
